"Order ID","Order Date","Customer Name","Product Name","quantity","Sub-Category","category","city","country"
HU-2016-JR567057-42370,"2016-01-01",Jim Radford,"Acco Binder, Recycled",1,Binders,Office Supplies,Budapest,Hungary
HU-2016-JR567057-42370,"2016-01-01",Jim Radford,"Ibico Index Tab, Durable",1,Binders,Office Supplies,Budapest,Hungary
CM-2016-AS28522-42377,"2016-01-08",Alejandro Savely,"Smead Box, Industrial",2,Storage,Office Supplies,Nkongsamba,Cameroon
LE-2016-CC267071-42378,"2016-01-09",Craig Carreira,"Avery Index Tab, Clear",2,Binders,Office Supplies,Beirut,Lebanon
LE-2016-CC267071-42378,"2016-01-09",Craig Carreira,"Panasonic Inkjet, Durable",2,Machines,Technology,Beirut,Lebanon
LE-2016-CC267071-42378,"2016-01-09",Craig Carreira,"Ames Manila Envelope, Security-Tint",2,Envelopes,Office Supplies,Beirut,Lebanon
NI-2016-DL292595-42383,"2016-01-14",Daniel Lacy,"Bush Floating Shelf Set, Traditional",1,Bookcases,Furniture,Kano,Nigeria
NI-2016-DL292595-42383,"2016-01-14",Daniel Lacy,"Boston Markers, Blue",10,Art,Office Supplies,Kano,Nigeria
NI-2016-DL292595-42383,"2016-01-14",Daniel Lacy,"Boston Highlighters, Blue",4,Art,Office Supplies,Kano,Nigeria
NI-2016-DL292595-42383,"2016-01-14",Daniel Lacy,"GlobeWeis Mailers, with clear poly window",2,Envelopes,Office Supplies,Kano,Nigeria
NI-2016-DL292595-42383,"2016-01-14",Daniel Lacy,"Sanford Markers, Blue",1,Art,Office Supplies,Kano,Nigeria
NI-2016-DL292595-42383,"2016-01-14",Daniel Lacy,"Wilson Jones Index Tab, Clear",1,Binders,Office Supplies,Kano,Nigeria
MO-2016-BN147086-42385,"2016-01-16",Brad Norvell,"Hon Coffee Table, Fully Assembled",2,Tables,Furniture,Rabat,Morocco
MO-2016-BN147086-42385,"2016-01-16",Brad Norvell,"HP Personal Copier, Color",2,Copiers,Technology,Rabat,Morocco
MO-2016-BN147086-42385,"2016-01-16",Brad Norvell,"Eldon Shelving, Wire Frame",2,Storage,Office Supplies,Rabat,Morocco
MO-2016-BN147086-42385,"2016-01-16",Brad Norvell,"Fiskars Scissors, Serrated",4,Supplies,Office Supplies,Rabat,Morocco
MO-2016-BN147086-42385,"2016-01-16",Brad Norvell,"Apple Headset, Cordless",1,Phones,Technology,Rabat,Morocco
MO-2016-BN147086-42385,"2016-01-16",Brad Norvell,"Fiskars Shears, Steel",1,Supplies,Office Supplies,Rabat,Morocco
IN-2016-TG216407-42387,"2016-01-18",Trudy Glocke,"Novimex Bag Chairs, Red",4,Chairs,Furniture,Melbourne,Australia
IN-2016-TG216407-42387,"2016-01-18",Trudy Glocke,"Sauder 3-Shelf Cabinet, Metal",3,Bookcases,Furniture,Melbourne,Australia
CA-2016-DM295523-42391,"2016-01-22",Dario Medina,"Advantus Paper Clips, Assorted Sizes",2,Fasteners,Office Supplies,Mississauga,Canada
CA-2016-DM295523-42391,"2016-01-22",Dario Medina,"Cardinal Binding Machine, Economy",1,Binders,Office Supplies,Mississauga,Canada
CA-2016-DM295523-42391,"2016-01-22",Dario Medina,"Stiletto Ruler, Easy Grip",4,Supplies,Office Supplies,Mississauga,Canada
US-2016-JB160005-42392,"2016-01-23",Joy Bell-,"Kraft Manila Envelope, with clear poly window",1,Envelopes,Office Supplies,Bahía Blanca,Argentina
US-2016-JB160005-42392,"2016-01-23",Joy Bell-,"Kraft Manila Envelope, with clear poly window",1,Envelopes,Office Supplies,Bahía Blanca,Argentina
US-2016-JB160005-42392,"2016-01-23",Joy Bell-,"Lesro Round Table, with Bottom Storage",1,Tables,Furniture,Bahía Blanca,Argentina
US-2016-JB160005-42392,"2016-01-23",Joy Bell-,"Lesro Round Table, with Bottom Storage",1,Tables,Furniture,Bahía Blanca,Argentina
US-2016-JB160005-42392,"2016-01-23",Joy Bell-,"Memorex Mouse, Programmable",4,Accessories,Technology,Bahía Blanca,Argentina
US-2016-JB160005-42392,"2016-01-23",Joy Bell-,"Memorex Mouse, Programmable",4,Accessories,Technology,Bahía Blanca,Argentina
GH-2016-Dl360049-42393,"2016-01-24",Dorris liebe,"SanDisk Memory Card, Programmable",2,Accessories,Technology,Accra,Ghana
GH-2016-Dl360049-42393,"2016-01-24",Dorris liebe,"Xerox Computer Printout Paper, 8.5 x 11",1,Paper,Office Supplies,Accra,Ghana
ZA-2016-AR345146-42397,"2016-01-28",Alex Russell,"Stanley Pencil Sharpener, Fluorescent",12,Art,Office Supplies,Chingola,Zambia
ZA-2016-AR345146-42397,"2016-01-28",Alex Russell,"Sauder Floating Shelf Set, Mobile",1,Bookcases,Furniture,Chingola,Zambia
ZA-2016-AR345146-42397,"2016-01-28",Alex Russell,"Ibico Binding Machine, Recycled",4,Binders,Office Supplies,Chingola,Zambia
ZA-2016-AR345146-42397,"2016-01-28",Alex Russell,"Hon Executive Leather Armchair, Red",1,Chairs,Furniture,Chingola,Zambia
ID-2016-SA208307-42399,"2016-01-30",Sue Ann Reed,"Enermax Cards & Envelopes, 8.5 x 11",3,Paper,Office Supplies,Ballarat,Australia
ID-2016-SA208307-42399,"2016-01-30",Sue Ann Reed,"Sharp Personal Copier, High-Speed",5,Copiers,Technology,Ballarat,Australia
ID-2016-BM117857-42399,"2016-01-30",Bryan Mills,"Boston Canvas, Water Color",4,Art,Office Supplies,Caloundra,Australia
NI-2016-RA988595-42400,"2016-01-31",Ruben Ausman,"Eldon Shelving, Blue",2,Storage,Office Supplies,Kaduna,Nigeria
NI-2016-RA988595-42400,"2016-01-31",Ruben Ausman,"Avery Binding Machine, Durable",2,Binders,Office Supplies,Kaduna,Nigeria
CA-2016-NW840023-42422,"2016-02-22",Natalie Webber,"Dania 3-Shelf Cabinet, Traditional",2,Bookcases,Furniture,North York,Canada
CA-2016-NW840023-42422,"2016-02-22",Natalie Webber,"Avery File Folder Labels, 5000 Label Set",2,Labels,Office Supplies,North York,Canada
CA-2016-NW840023-42422,"2016-02-22",Natalie Webber,"BIC Pencil Sharpener, Water Color",1,Art,Office Supplies,North York,Canada
NI-2016-MH745595-42426,"2016-02-26",Mark Hamilton,"Breville Stove, White",2,Appliances,Office Supplies,Lagos,Nigeria
NI-2016-MH745595-42426,"2016-02-26",Mark Hamilton,"Motorola Office Telephone, VoIP",1,Phones,Technology,Lagos,Nigeria
NI-2016-MH745595-42426,"2016-02-26",Mark Hamilton,"Cardinal Binder, Recycled",4,Binders,Office Supplies,Lagos,Nigeria
IR-2016-AS22560-42430,"2016-03-01",Alan Schoenberger,"Eldon Shelving, Industrial",2,Storage,Office Supplies,Saveh,Iran
AG-2016-HF49953-42437,"2016-03-08",Herbert Flentye,"Eldon Folders, Wire Frame",2,Storage,Office Supplies,Oran,Algeria
AG-2016-HF49953-42437,"2016-03-08",Herbert Flentye,"Memorex Router, Bluetooth",1,Accessories,Technology,Oran,Algeria
ES-2016-KM167208-42440,"2016-03-11",Kunst Miller,"Cisco Signal Booster, Cordless",3,Phones,Technology,Vienna,Austria
ES-2016-KM167208-42440,"2016-03-11",Kunst Miller,"Acco 3-Hole Punch, Clear",10,Binders,Office Supplies,Vienna,Austria
ES-2016-KM167208-42440,"2016-03-11",Kunst Miller,"Stanley Sketch Pad, Blue",3,Art,Office Supplies,Vienna,Austria
NI-2016-DM334595-42441,"2016-03-12",Denise Monton,"Cardinal 3-Hole Punch, Durable",1,Binders,Office Supplies,Enugu,Nigeria
NI-2016-DM334595-42441,"2016-03-12",Denise Monton,"Eldon Trays, Wire Frame",10,Storage,Office Supplies,Enugu,Nigeria
IN-2016-CC124757-42444,"2016-03-15",Cindy Chapman,"Eldon Lockers, Industrial",8,Storage,Office Supplies,Newcastle,Australia
IN-2016-SG206057-42444,"2016-03-15",Speros Goranitis,"Stockwell Thumb Tacks, 12 Pack",5,Fasteners,Office Supplies,Sydney,Australia
IN-2016-CC124757-42444,"2016-03-15",Cindy Chapman,"Hamilton Beach Blender, White",2,Appliances,Office Supplies,Newcastle,Australia
EG-2016-AS28538-42447,"2016-03-18",Alejandro Savely,"Nokia Headset, Cordless",2,Phones,Technology,Al Mahallah al Kubra,Egypt
EG-2016-AS28538-42447,"2016-03-18",Alejandro Savely,"Advantus Clamps, 12 Pack",1,Fasteners,Office Supplies,Al Mahallah al Kubra,Egypt
